Company,PrivacyPolicy,Contact,RequestForm,RequestType,CCPA,CPA,CTDPA,CDPA,UCPA
Cash App,https://cash.app/legal/us/en-us/privacy,,https://cash.app/support,Account settings,True,False,False,False,False
Zelle,https://www.zellepay.com/legal/website-privacy-notice,privacyoffice@earlywarning.com,,Email,True,False,False,False,False
Credit Karma,https://www.intuit.com/privacy/statement/,requests@creditkarma.com,https://support.creditkarma.com/s/newcase,Internal form,True,True,True,True,False
Chase,https://www.chase.com/digital/resources/privacy-security/privacy/consumer-privacy-notice,Privacy.Info@JPMChase.com ,,Email,True,False,False,False,False
Chime Bank,https://www.chime.com/policies/chime/privacy-policy/,support@chime.com,https://privacyportal.onetrust.com/webform/5937394c-877a-4878-9ea1-329cdfe21a59/d98ad59c-8cb5-4ff2-82db-543e8d05103b,OneTrust,True,False,False,True,False
Bank of America,https://www.bankofamerica.com/security-center/privacy-overview/,,https://secure.bankofamerica.com/customer-preferences/public/personal-information-request/#!/page1,Internal form,True,False,False,False,False
American Express,https://www.americanexpress.com/us/company/privacy-center/online-privacy-disclosures/#privacy-statement,,https://www.americanexpress.com/us/privacy-center/?inav=footer_privacy_statement,Internal form,True,False,False,False,False
Experian,https://www.experian.com/privacy/,,https://privacy.a.apps.experian.com/ccpa/,Internal form,True,False,False,False,False
Citi Mobile,https://online.citi.com/US/JRS/portal/template.do?ID=Privacy,,,Phone,True,False,False,False,False
Robinhood,https://robinhood.com/l/privacy,privacy@robinhood.com,,Account settings,True,False,False,False,False
Wells Fargo,https://www.wellsfargo.com/privacy-security/,privacycenter@wellsfargo.com,https://privacycenter.wellsfargo.com/pcc/portal/enter,Internal form,True,False,False,False,False
Progressive Insurance,https://www.progressive.com/privacy/,,https://privacyportal.onetrust.com/webform/98369889-3df1-4c62-87e3-ec55d5e7571d/8cd82167-9c5d-439d-88d4-2e88b41036d3,OneTrust,True,True,True,True,True
Schwab,https://www.schwab.com/legal/privacy,,,Phone,True,False,False,False,False
Webull,https://www.webull.com/protocol/webull_financial_privacy_policy,privacy-us@webull.com,,Email,True,False,False,False,False
Venmo,https://venmo.com/legal/start/,privacy@venmo.com,https://help.venmo.com/hc/en-us/requests/new?ticket_form_id=624807,Internal form,TRUE,FALSE,FALSE,TRUE,FALSE
Shell,https://www.shell.us/privacy/b2c-notice.html,shellcustomercare@shell.com,,Email,True,False,False,False,False
Chevron,https://www.chevron.com/privacy,,https://privacyportal-cdn.onetrust.com/dsarwebform/c6903940-f079-4218-9ad7-47c7ff822500/12ee0246-47a0-4a19-9fe8-3a884c925d0d.html,OneTrust,True,False,False,False,False
Exxon Mobil,https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy,data.privacy.office@exxonmobil.com,https://privacyportal.onetrust.com/webform/556d380f-9307-4f7c-8b90-5eaa69099b42/268a33c4-8f55-41f5-bc5d-356ec7c3444f,OneTrust,True,False,False,False,False
7-Eleven,https://www.7-eleven.com/consumer-privacy-notice,privacypolicy@7-11.com,https://7dataassure-forms.7-eleven.com/email,Internal form,True,False,False,False,False
Toyota,https://www.toyota.com/support/privacy-rights/,,https://privacy.toyota.com/,OneTrust,True,False,False,False,False
Honda,https://www.honda.com/privacy/privacy-notice,,https://crrs.secure.force.com/service/CCPA_Request_W2C,SalesForce,True,False,False,True,False
Ford,https://www.ford.com/help/privacy/#USprivacypolicy,calprivy@ford.com,https://privacyportal.onetrust.com/webform/1d20b685-0942-4b4d-a0af-b799c97f5cf6/2e4928b6-d77a-4f76-9518-1bfb9721669d,OneTrust,True,False,False,True,False
Kia,https://www.kia.com/us/en/privacy,,https://ksupport.kiausa.com/ConsumerAffairs/PrivacyManagement,Internal form,True,True,True,True,True
Nissan,https://www.nissanusa.com/privacy.html,privacy@nissan-usa.com,https://privacyportal.onetrust.com/webform/00db3d80-61f2-406b-9665-493b342a269d/b28edb8c-8f95-418a-8697-ad870da401ae,OneTrust,True,True,True,True,True
BMW,https://my.bmwusa.com/privacypolicy,bmwprivacy@bmwusa.com,,Email,True,True,True,True,True
Duolingo,https://www.duolingo.com/privacy,privacy@duolingo.com,https://drive-thru.duolingo.com/,Internal form,True,FALSE,FALSE,FALSE,FALSE
Babbel,https://about.babbel.com/privacy/,privacy@babbel.com,,Email,True,False,False,False,False
Quizlet,https://quizlet.com/privacy,privacy@quizlet.com,,Email,TRUE,FALSE,FALSE,FALSE,FALSE
Canvas,https://www.instructure.com/policies/privacy,privacy@instructure.com,,Email,True,False,False,False,False
Kahoot,https://trust.kahoot.com/privacy-policy/,privacy@kahoot.com,,Email,True,False,False,False,False
Udacity,https://www.udacity.com/legal/en-us/privacy,privacy@udacity.com,,Account settings,True,False,False,False,False
edX,https://www.edx.org/edx-privacy-policy,privacy@edx.org,,Account settings,True,False,False,True,False
Khan Academy,https://www.khanacademy.org/about/privacy-policy,privacy@khanacademy.org,,Account settings,True,False,False,False,False
Udemy,https://www.udemy.com/terms/privacy/,privacy@udemy.com,https://support.udemy.com/hc/en-us/requests/new?ticket_form_id=360002416854,Internal form,True,False,False,False,False
Netflix,https://help.netflix.com/en/legal/privacy,privacy@netflix.com,https://help.netflix.com/en/node/100624,Account settings,True,True,True,True,True
HBO Max,https://www.hbomax.com/privacy/usrights/en-us,privacy@hbomax.com,https://www.warnermediaprivacy.com/delete-data/request/,Internal form,True,False,False,True,False
Paramount Plus,https://privacy.paramount.com/en/policy,,https://privacyportal.onetrust.com/webform/869be997-c257-4071-b658-a5427317b5c6/bda9b2b4-9be6-4f30-9d55-94b308f9af4d,OneTrust,True,True,True,True,True
Hulu,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/,usprivacy@twdc.com,https://privacyportalde-cdn.onetrust.com/dsarwebform/64f077b5-2f93-429f-a005-c0206ec0738e/310e544c-4c70-4d0f-90d5-d4dc8b3f7cba.html,OneTrust,True,False,False,True,False
