Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
7-Eleven,[:blue_book:](https://www.7-eleven.com/consumer-privacy-notice),[:envelope:](privacypolicy@7-11.com),[:memo:](https://7dataassure-forms.7-eleven.com/email),Internal form,:heavy_check_mark:,,,,,
BMW,[:blue_book:](https://my.bmwusa.com/privacypolicy),[:envelope:](bmwprivacy@bmwusa.com),,Email,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Chevron,[:blue_book:](https://www.chevron.com/privacy),,[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/c6903940-f079-4218-9ad7-47c7ff822500/12ee0246-47a0-4a19-9fe8-3a884c925d0d.html),OneTrust,:heavy_check_mark:,,,,,
Exxon Mobil,[:blue_book:](https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy),[:envelope:](data.privacy.office@exxonmobil.com),[:memo:](https://privacyportal.onetrust.com/webform/556d380f-9307-4f7c-8b90-5eaa69099b42/268a33c4-8f55-41f5-bc5d-356ec7c3444f),OneTrust,:heavy_check_mark:,,,,,
Ferrari ,[:blue_book:](https://www.ferrari.com/en-EN/privacy-policy),,[:memo:](https://privacyportal-de.onetrust.com/webform/98d779e0-913c-4c73-b9fe-4e0e2e29c727/8311287a-be4e-4748-86c2-e12d7ccdf2db),OneTrust,,,,,,
Ford,[:blue_book:](https://www.ford.com/help/privacy/#USprivacypolicy),[:envelope:](calprivy@ford.com),[:memo:](https://privacyportal.onetrust.com/webform/1d20b685-0942-4b4d-a0af-b799c97f5cf6/2e4928b6-d77a-4f76-9518-1bfb9721669d),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.ford.com/help/privacy/#caPrivacy)
General Motors,[:blue_book:](https://www.gm.com/privacy-statement),[:envelope:](privacy@gm.com),[:memo:](https://www.gm.com/consumer-privacy),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
Honda,[:blue_book:](https://www.honda.com/privacy/privacy-notice),,[:memo:](https://crrs.secure.force.com/service/CCPA_Request_W2C),SalesForce,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.honda.com/privacy/pdf/Honda_CCPA_01192022.pdf)
Hyundai ,[:blue_book:](https://www.hyundaiusa.com/us/en/privacy-policy/),[:envelope:](personalprivacyrequest@hmausa.com),[:memo:](https://www.hyundaiusa.com/us/en/privacy-policy/),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
Kia,[:blue_book:](https://www.kia.com/us/en/privacy),,[:memo:](https://ksupport.kiausa.com/ConsumerAffairs/PrivacyManagement),Internal form,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Lucid Motors ,[:blue_book:](https://www.lucidmotors.com/legal#privacy-policy),[:envelope:](privacy@lucidmotors.com),,Email,:heavy_check_mark:,,,,,
Mercedes-Benz ,[:blue_book:](https://www.mercedes-benz.com/en/providerprivacy-statement/privacy-statement/),[:envelope:](dialog@mercedes-benz.com),,Email,:heavy_check_mark:,,,,,
Nissan,[:blue_book:](https://www.nissanusa.com/privacy.html),[:envelope:](privacy@nissan-usa.com),[:memo:](https://privacyportal.onetrust.com/webform/00db3d80-61f2-406b-9665-493b342a269d/b28edb8c-8f95-418a-8697-ad870da401ae),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Polestar,[:blue_book:](https://www.polestar.com/us/legal/privacy/privacy-policy/),[:envelope:](dpo@polestar.com),[:memo:](https://www.polestar.com/us/data-subject-right-request),Internal form,:heavy_check_mark:,,,,,
Porsche ,[:blue_book:](https://www.porsche.com/usa/privacy-policy/),[:envelope:](privacy@porsche.us),[:memo:](https://www.porsche.com/usa/privacy-policy/contact/),Internal form,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Shell,[:blue_book:](https://www.shell.us/privacy/b2c-notice.html),[:envelope:](shellcustomercare@shell.com),,Email,:heavy_check_mark:,,,,,
SoCal Gas,[:blue_book:](https://www.socalgas.com/privacy-notice),[:envelope:](privacy@socalgas.com),[:memo:](https://www.socalgas.com/california-consumer-privacy-act-request),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://www.socalgas.com/california-consumer-privacy-act-policy)
Tesla,[:blue_book:](https://www.tesla.com/legal/privacy),[:envelope:](privacy@tesla.com),[:memo:](https://www.tesla.com/support/contact),,:heavy_check_mark:,,,,,
Toyota,[:blue_book:](https://www.toyota.com/support/privacy-rights/),,[:memo:](https://privacy.toyota.com/),OneTrust,:heavy_check_mark:,,,,,
