Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA
Shell,[:blue_book:](https://www.shell.us/privacy/b2c-notice.html),[:mail:](shellcustomercare@shell.com),,Email,:heavy_check_mark:,,,,
Chevron,[:blue_book:](https://www.chevron.com/privacy),,[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/c6903940-f079-4218-9ad7-47c7ff822500/12ee0246-47a0-4a19-9fe8-3a884c925d0d.html),OneTrust,:heavy_check_mark:,,,,
Exxon Mobil,[:blue_book:](https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy),[:mail:](data.privacy.office@exxonmobil.com),[:memo:](https://privacyportal.onetrust.com/webform/556d380f-9307-4f7c-8b90-5eaa69099b42/268a33c4-8f55-41f5-bc5d-356ec7c3444f),OneTrust,:heavy_check_mark:,,,,
7-Eleven,[:blue_book:](https://www.7-eleven.com/consumer-privacy-notice),[:mail:](privacypolicy@7-11.com),[:memo:](https://7dataassure-forms.7-eleven.com/email),Internal form,:heavy_check_mark:,,,,
Toyota,[:blue_book:](https://www.toyota.com/support/privacy-rights/),,[:memo:](https://privacy.toyota.com/),OneTrust,:heavy_check_mark:,,,,
Honda,[:blue_book:](https://www.honda.com/privacy/privacy-notice),,[:memo:](https://crrs.secure.force.com/service/CCPA_Request_W2C),SalesForce,:heavy_check_mark:,,,:heavy_check_mark:,
Ford,[:blue_book:](https://www.ford.com/help/privacy/#USprivacypolicy),[:mail:](calprivy@ford.com),[:memo:](https://privacyportal.onetrust.com/webform/1d20b685-0942-4b4d-a0af-b799c97f5cf6/2e4928b6-d77a-4f76-9518-1bfb9721669d),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,
Kia,[:blue_book:](https://www.kia.com/us/en/privacy),,[:memo:](https://ksupport.kiausa.com/ConsumerAffairs/PrivacyManagement),Internal form,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
Nissan,[:blue_book:](https://www.nissanusa.com/privacy.html),[:mail:](privacy@nissan-usa.com),[:memo:](https://privacyportal.onetrust.com/webform/00db3d80-61f2-406b-9665-493b342a269d/b28edb8c-8f95-418a-8697-ad870da401ae),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
BMW,[:blue_book:](https://my.bmwusa.com/privacypolicy),[:mail:](bmwprivacy@bmwusa.com),,Email,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
