Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
Acxiom,[:blue_book:](https://www.acxiom.com/about-us/privacy/),[:envelope:](consumeradvo@acxiom.com),[:memo:](https://privacyportal.onetrust.com/webform/342ca6ac-4177-4827-b61e-19070296cbd3/7229a09c-578f-4ac6-a987-e0428a7b877e),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.acxiom.com/about-us/privacy/highlights-for-us-products-privacy-policy/#ccpa)
Bombora,[:blue_book:](https://bombora.com/privacy-policy/),[:envelope:](privacy@bombora.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/662170ba-e8a7-486d-83f0-18df819c7d01/30097882-a6d2-4336-960d-5943489b1f34.html?Cookie_ID=3615977796843601920),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://bombora.com/wp-content/uploads/2022/06/CCPA-2021-Metrics.pptx.pdf)
Channel Advisor,[:blue_book:](https://www.channeladvisor.com/privacy-policy/),[:envelope:](data-privacy@channeladvisor.com),[:memo:](https://www.channeladvisor.com/privacy-policy/),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://www.channeladvisor.com/privacy-policy/ccpa-reporting/)
Equifax,[:blue_book:](https://www.equifax.com/privacy/privacy-statement/),,[:memo:](https://myprivacy.equifax.com/personal-info),Internal form,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://www.equifax.com/privacy/privacy-statement/)
Experian,[:blue_book:](https://www.experian.com/privacy/#consumerprivacy),,[:memo:](https://consumerprivacy.experian.com/ccpa/),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://www.experian.com/privacy/ccpa-privacy-policy)
Hybrid Theory,[:blue_book:](https://hybridtheory.com/privacy-notice/),[:envelope:](privacy@hybridtheory.com),,Email,:heavy_check_mark:,,,,,
Interactive Data,[:blue_book:](https://www.ididata.com/idis-privacy-statement/),[:envelope:](privacy@ididata.com),[:memo:](https://www.ididata.com/personal-information-request/),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.ididata.com/wp-content/uploads/2021/07/California-Consumer-Privacy-Act-Metrics.pdf)
Live Ramp,[:blue_book:](https://liveramp.com/privacy/),,[:memo:](https://submit-irm.trustarc.com/services/validation/5c2b0c65-cac5-4a10-96cd-aa3821a77b2b),TrustArc,:heavy_check_mark:,,,,,[:bar_chart:](https://liveramp.com/privacy/california-privacy-notice/)
NC Audience Exchange,[:blue_book:](https://ncaudienceexchange.com/privacy/),[:envelope:](privacypolicy@newscorp.com),[:memo:](https://privacyportal.onetrust.com/webform/8930e991-baac-4a05-89f0-fc400879fa8a/fdeb5828-43a8-4430-a455-fa93b6c84eab),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://ncaudienceexchange.com/doc/News_IQ_CCPA_Request_Metrics2020.pdf)
Next Roll,[:blue_book:](https://www.nextroll.com/privacy),,[:memo:](https://privacyportal.onetrust.com/webform/73859656-3459-48d9-8689-fe41934126f0/80c6342a-860d-4ab2-af3d-29a06a95f862),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://www.nextroll.com/privacy/ccpa-metrics)
