Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
AMC,[:blue_book:](https://www.amctheatres.com/privacy-policy),[:envelope:](privacymanager@amctheatres.com),[:memo:](https://www.amctheatres.com/privacy),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
Cinemark,[:blue_book:](https://www.cinemark.com/privacy-policy),,[:memo:](https://www.cinemark.com/my-personal-information),Internal form,,,,,,
Crunchyroll,[:blue_book:](https://www.crunchyroll.com/en/privacy/index.html),,[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/d19e506f-1a64-463d-94e4-914dd635817d/fc46fc0c-407c-4735-9a43-14dfa283d17c.html),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Discovery+,[:blue_book:](https://corporate.discovery.com/privacy-policy/),[:envelope:](privacy_policy@discovery.com),[:memo:](https://privacyportal.onetrust.com/webform/1b21e05d-c206-4e0b-970e-2d73a23e42e8/5b504afe-dd1e-47f6-9af6-56144531eced),OneTrust,:heavy_check_mark:,,,,,
Disney,[:blue_book:](https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/),[:envelope:](usprivacy@twdc.com),[:memo:](https://privacyportalde-cdn.onetrust.com/dsarwebform/64f077b5-2f93-429f-a005-c0206ec0738e/310e544c-4c70-4d0f-90d5-d4dc8b3f7cba.html),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/)
ESPN,[:blue_book:](https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/),[:envelope:](usprivacy@twdc.com),[:memo:](https://privacyportalde-cdn.onetrust.com/dsarwebform/64f077b5-2f93-429f-a005-c0206ec0738e/310e544c-4c70-4d0f-90d5-d4dc8b3f7cba.html),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/)
Fandango,[:blue_book:](https://www.fandango.com/policies/privacy-policy),[:envelope:](privacy@fandango.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/17e5cb00-ad90-47f5-a58d-77597d9d2c16/7e1e94a5-ce41-429f-8613-2b0b30850f6e.html),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://www.fandango.com/policies/ccpa-metric)
HBO Max,[:blue_book:](https://www.hbomax.com/privacy/usrights/en-us),[:envelope:](privacy@hbomax.com),[:memo:](https://www.warnermediaprivacy.com/delete-data/request/),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
Hulu,[:blue_book:](https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/),[:envelope:](usprivacy@twdc.com),[:memo:](https://privacyportalde-cdn.onetrust.com/dsarwebform/64f077b5-2f93-429f-a005-c0206ec0738e/310e544c-4c70-4d0f-90d5-d4dc8b3f7cba.html),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
IMDB,[:blue_book:](https://www.imdb.com/privacy?ref_=ft_pvc),,[:memo:](https://help.imdb.com/article/imdb/general-information/how-can-i-access-or-delete-personal-information-imdb-stores-about-me/GDASD2LZMU8HNH4H?ref_=helpms_helpart_inline#),Account settings,:heavy_check_mark:,,,:heavy_check_mark:,,
