Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
Allstate,[:blue_book:](https://www.allstate.com/privacy-center/aic-privacy-statement),[:email:](mailto:customerprivacy@allstate.com),[:memo:](https://allstate.consumerprivacyinfo.com/),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.allstate.com/privacy-center/consumer-requests-metrics)
American Express,[:blue_book:](https://www.americanexpress.com/us/company/privacy-center/online-privacy-disclosures/#privacy-statement),,[:memo:](https://www.americanexpress.com/us/privacy-center/?inav=footer_privacy_statement),Internal form,:heavy_check_mark:,,,,,
Bank of America,[:blue_book:](https://www.bankofamerica.com/security-center/privacy-overview/),,[:memo:](https://secure.bankofamerica.com/customer-preferences/public/personal-information-request/#!/page1),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://www.bankofamerica.com/ccpa-metrics)
Barclays,[:blue_book:](https://cards.barclaycardus.com/banking/privacy-policy/),,[:memo:](https://www.barclaycardus.com/servicing/consumerPrivacyRequest#/),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://cards.barclaycardus.com/content/dam/bcuspublic/privacy-policy/notices/CCPA%20Annual%20Metrics_2022-01-13.pdf)
Capital One,[:blue_book:](https://www.capitalone.com/privacy/),,[:memo:](https://mydata.capitalone.com/),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://mydata.capitalone.com/transparency-report)
Cash App,[:blue_book:](https://cash.app/legal/us/en-us/privacy),,[:memo:](https://cash.app/support),Account settings,:heavy_check_mark:,,,,,
Chase,[:blue_book:](https://www.chase.com/digital/resources/privacy-security/privacy/consumer-privacy-notice),[:email:](mailto:Privacy.Info@JPMChase.com),,Email,:heavy_check_mark:,,,,,
Chime Bank,[:blue_book:](https://www.chime.com/policies/chime/privacy-policy/),[:email:](mailto:support@chime.com),[:memo:](https://privacyportal.onetrust.com/webform/5937394c-877a-4878-9ea1-329cdfe21a59/d98ad59c-8cb5-4ff2-82db-543e8d05103b),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Citi Mobile,[:blue_book:](https://online.citi.com/US/JRS/portal/template.do?ID=Privacy),,,Phone,:heavy_check_mark:,,,,,
Clover,[:blue_book:](https://www.clover.com/privacy-policy),[:email:](mailto:dpo@fiserv.com),[:memo:](https://privacyportal.onetrust.com/webform/ea43d9bb-b0c9-4a9e-abdc-ef43b9b27820/7b1d1e3d-fa16-470a-a0f9-c9dc74868f6d),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,
Credit Karma,[:blue_book:](https://www.intuit.com/privacy/statement/),[:email:](mailto:requests@creditkarma.com),[:memo:](https://support.creditkarma.com/s/newcase),Internal form,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,
Experian,[:blue_book:](https://www.experian.com/privacy/),,[:memo:](https://privacy.a.apps.experian.com/ccpa/),Internal form,:heavy_check_mark:,,,,,
Fannie Mae,[:blue_book:](https://www.fanniemae.com/about-us/corporate-governance/online-privacy-notice),,[:memo:](https://fmethics.metricstream.com/webline/),Internal form,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://www.fanniemae.com/media/40331/display)
Freddie Mac,[:blue_book:](https://www.freddiemac.com/terms/privacy),[:email:](mailto:privacy_mailbox@freddiemac.com),[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/94b5e41a-aba0-4e51-ba48-efa19ce560a1/b80edba8-62e5-465e-8757-f725da6ee5b2.html),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.freddiemac.com/terms/docs/California_Consumer_Request_Metrics.pdf)
Liberty Mutual,[:blue_book:](https://www.libertymutualgroup.com/general/about-lm/corporate-information/website-and-mobile-data-privacy),[:email:](mailto:privacy@libertymutual.com),[:memo:](https://privacyportal.onetrust.com/hosted-webform/consent/50577d86-8d39-4310-9583-33e6d3da8e17/9b108b70-4ef6-4d93-b7ec-60e41f03b292),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://www.libertymutualgroup.com/documents/2021-metrics-individual-requests-access-and-deletion-updated-6.20.22.pdf)
M&T Bank,[:blue_book:](https://www3.mtb.com/privacy),[:email:](mailto:ConsumerRequest@wilmingtontrust.com),,Email,:heavy_check_mark:,,,,,[:bar_chart:](https://www3.mtb.com/homepage/explore-the-m-and-t-bank-help-center/bank-policies/california-consumer-privacy-notice)
Paysafecard,[:blue_book:](https://www.paysafecard.com/en/privacy-notice/),,[:memo:](https://www.paysafe.com/en/personal-data-requests/),Internal form,:heavy_check_mark:,,,,,
Plaid,[:blue_book:](https://plaid.com/legal/),[:email:](mailto:privacy@plaid.com),[:memo:](https://plaid.com/legal/data-protection-request-form/),Internal form,:heavy_check_mark:,,,,,
Privacy.com,[:blue_book:](https://privacy.com/privacy-policy),[:email:](mailto:hello@privacy.com),,Email,:heavy_check_mark:,,,,,
Progressive Insurance,[:blue_book:](https://www.progressive.com/privacy/),,[:memo:](https://privacyportal.onetrust.com/webform/98369889-3df1-4c62-87e3-ec55d5e7571d/8cd82167-9c5d-439d-88d4-2e88b41036d3),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Robinhood,[:blue_book:](https://robinhood.com/l/privacy),[:email:](mailto:privacy@robinhood.com),,Account settings,:heavy_check_mark:,,,,,
Schwab,[:blue_book:](https://www.schwab.com/legal/privacy),,,Phone,:heavy_check_mark:,,,,,
State Farm,[:blue_book:](https://www.statefarm.com/customer-care/privacy-security/privacy),[:email:](mailto:privacy@statefarm.com),[:memo:](https://apps.statefarm.com/CustomerForms/ConsumerDataAccessRequestForm.htm),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://www.statefarm.com/content/dam/sf-library/en-us/secure/legacy/pdf/V-ccpa-metrics.pdf)
Stripe,[:blue_book:](https://stripe.com/privacy),[:email:](mailto:privacy@stripe.com),[:memo:](https://support.stripe.com/contact/email?question=other&topic=other&subject=Privacy+Request),Internal form,:heavy_check_mark:,,,,,
Synchrony,[:blue_book:](https://www.synchrony.com/privacy-policy.html?intcmp=home_footer_synchrony_int),[:email:](mailto:privacyoffice@syf.com),[:memo:](https://www.synchronycredit.com/cpra/),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://www.synchrony.com/CCPA%20Metrics%202021%20ENG.pdf)
Truist,[:blue_book:](https://www.truist.com/privacy),,[:memo:](https://privacycenter.truist.com/login),Internal form,:heavy_check_mark:,,,,,[:bar_chart:](https://www.truist.com/content/dam/truist-bank/us/en/documents/disclosures/ccpa-2021-disclosure.pdf)
Venmo,[:blue_book:](https://venmo.com/legal/start/),[:email:](mailto:privacy@venmo.com),[:memo:](https://help.venmo.com/hc/en-us/requests/new?ticket_form_id=624807),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
Visa,[:blue_book:](https://usa.visa.com/legal/privacy-policy.html),[:email:](mailto:privacy@visa.com),[:memo:](https://privacyportal.onetrust.com/webform/dd0d9755-b749-45c9-8c89-f768637132db/2820c4d2-137a-425e-bf35-ffb2bab5611d),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://usa.visa.com/legal/global-privacy-notice/ca-privacy-rights.html#Additional_Disclosures_for_Large_Businesses-f42b)
Webull,[:blue_book:](https://www.webull.com/protocol/webull_financial_privacy_policy),[:email:](mailto:privacy-us@webull.com),,Email,:heavy_check_mark:,,,,,
Wells Fargo,[:blue_book:](https://www.wellsfargo.com/privacy-security/),[:email:](mailto:privacycenter@wellsfargo.com),[:memo:](https://privacycenter.wellsfargo.com/pcc/portal/enter),Internal form,:heavy_check_mark:,,,,,
Zelle,[:blue_book:](https://www.zellepay.com/legal/website-privacy-notice),[:email:](mailto:privacyoffice@earlywarning.com),,Email,:heavy_check_mark:,,,,,
