Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA
Cash App,[:blue_book:](https://cash.app/legal/us/en-us/privacy),,[:memo:](https://cash.app/support),Account settings,:heavy_check_mark:,,,,
Zelle,[:blue_book:](https://www.zellepay.com/legal/website-privacy-notice),[:mail:](privacyoffice@earlywarning.com),,Email,:heavy_check_mark:,,,,
Credit Karma,[:blue_book:](https://www.intuit.com/privacy/statement/),[:mail:](requests@creditkarma.com),[:memo:](https://support.creditkarma.com/s/newcase),Internal form,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Chase,[:blue_book:](https://www.chase.com/digital/resources/privacy-security/privacy/consumer-privacy-notice),[:mail:](Privacy.Info@JPMChase.com),,Email,:heavy_check_mark:,,,,
Chime Bank,[:blue_book:](https://www.chime.com/policies/chime/privacy-policy/),[:mail:](support@chime.com),[:memo:](https://privacyportal.onetrust.com/webform/5937394c-877a-4878-9ea1-329cdfe21a59/d98ad59c-8cb5-4ff2-82db-543e8d05103b),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,
Bank of America,[:blue_book:](https://www.bankofamerica.com/security-center/privacy-overview/),,[:memo:](https://secure.bankofamerica.com/customer-preferences/public/personal-information-request/#!/page1),Internal form,:heavy_check_mark:,,,,
American Express,[:blue_book:](https://www.americanexpress.com/us/company/privacy-center/online-privacy-disclosures/#privacy-statement),,[:memo:](https://www.americanexpress.com/us/privacy-center/?inav=footer_privacy_statement),Internal form,:heavy_check_mark:,,,,
Experian,[:blue_book:](https://www.experian.com/privacy/),,[:memo:](https://privacy.a.apps.experian.com/ccpa/),Internal form,:heavy_check_mark:,,,,
Citi Mobile,[:blue_book:](https://online.citi.com/US/JRS/portal/template.do?ID=Privacy),,,Phone,:heavy_check_mark:,,,,
Robinhood,[:blue_book:](https://robinhood.com/l/privacy),[:mail:](privacy@robinhood.com),,Account settings,:heavy_check_mark:,,,,
Wells Fargo,[:blue_book:](https://www.wellsfargo.com/privacy-security/),[:mail:](privacycenter@wellsfargo.com),[:memo:](https://privacycenter.wellsfargo.com/pcc/portal/enter),Internal form,:heavy_check_mark:,,,,
Progressive Insurance,[:blue_book:](https://www.progressive.com/privacy/),,[:memo:](https://privacyportal.onetrust.com/webform/98369889-3df1-4c62-87e3-ec55d5e7571d/8cd82167-9c5d-439d-88d4-2e88b41036d3),OneTrust,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:
Schwab,[:blue_book:](https://www.schwab.com/legal/privacy),,,Phone,:heavy_check_mark:,,,,
Webull,[:blue_book:](https://www.webull.com/protocol/webull_financial_privacy_policy),[:mail:](privacy-us@webull.com),,Email,:heavy_check_mark:,,,,
Venmo,[:blue_book:](https://venmo.com/legal/start/),[:mail:](privacy@venmo.com),[:memo:](https://help.venmo.com/hc/en-us/requests/new?ticket_form_id=624807),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,
Privacy.com,[:blue_book:](https://privacy.com/privacy-policy),[:mail:](hello@privacy.com),,Email,:heavy_check_mark:,,,,
Paysafecard,[:blue_book:](https://www.paysafecard.com/en/privacy-notice/),,[:memo:](https://www.paysafe.com/en/personal-data-requests/),Internal form,:heavy_check_mark:,,,,
Clover,[:blue_book:](https://www.clover.com/privacy-policy),[:mail:](dpo@fiserv.com),[:memo:](https://privacyportal.onetrust.com/webform/ea43d9bb-b0c9-4a9e-abdc-ef43b9b27820/7b1d1e3d-fa16-470a-a0f9-c9dc74868f6d),OneTrust,:heavy_check_mark:,,,:heavy_check_mark:,
Plaid,[:blue_book:](https://plaid.com/legal/),[:mail:](privacy@plaid.com),[:memo:](https://plaid.com/legal/data-protection-request-form/),Internal form,:heavy_check_mark:,,,,
Stripe,[:blue_book:](https://stripe.com/privacy),[:mail:](privacy@stripe.com),[:memo:](https://support.stripe.com/contact/email?question=other&topic=other&subject=Privacy+Request),Internal form,:heavy_check_mark:,,,,
