Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
Applebees,[:blue_book:](https://www.applebees.com/en/privacy-policy),[:email:](mailto:privacydesk@applebees.com),[:memo:](https://privacyportal.onetrust.com/webform/de9c8170-4f8f-4c2c-bad0-0878e7e40cf0/40940099-6df1-4b17-9e6b-0dfa196c31f8),OneTrust,:heavy_check_mark:,,,,,
Arbys,[:blue_book:](https://www.arbys.com/privacy-policy),[:email:](mailto:privacy@inspirebrands.com),[:memo:](https://arbys.truyo.com/consumer/make_request),Truyo,:heavy_check_mark:,,,:heavy_check_mark:,,
Baskin-Robbins,[:blue_book:](https://www.baskinrobbins.com/en/privacy-policy),[:email:](mailto:customerservice@dunkinbrands.com),,Email,:heavy_check_mark:,,,:heavy_check_mark:,,
Blaze Pizza,[:blue_book:](https://www.blazepizza.com/privacy),[:email:](mailto:privacy@blazepizza.com),[:memo:](https://privacyportal.onetrust.com/webform/a9fd77da-e4ea-480f-9766-7e386d0c293b/8bdc14ec-5e15-4707-9d53-4820d18b7c36),OneTrust,:heavy_check_mark:,,,,,
Burger King,[:blue_book:](https://www.bk.com/privacy-policy),[:email:](mailto:privacy@rbi.com),[:memo:](https://privacyportal-eu-cdn.onetrust.com/dsarwebform/7ae425dd-1c76-46b0-a1b4-2422a364fae3/draft/1d4481aa-204a-4cb5-a40a-82e4369d16b2.html),OneTrust,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Carl’s Jr,[:blue_book:](https://www.carlsjr.com/privacy-policy),[:email:](mailto:privacy@ckr.com),[:memo:](https://privacy.ckr.com/consumer/make_request),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
CAVA,[:blue_book:](https://www.cava.com/privacy),[:email:](mailto:privacy@cava.com),,Email,:heavy_check_mark:,,,:heavy_check_mark:,,
Chick-Fil-Ah,[:blue_book:](https://www.chick-fil-a.com/legal),[:email:](mailto:privacy@chick-fil-a.com),[:memo:](https://privacyportal.onetrust.com/webform/63dc78c7-5612-4181-beae-47dead0569ee/01252c81-82df-4db5-9cb8-bf23a62a9a55),OneTrust,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Chillis,[:blue_book:](https://brinker.com/privacy),[:email:](mailto:privacypolicy@brinker.com),,Email,:heavy_check_mark:,,,,,
Chipotle,[:blue_book:](https://www.chipotle.com/about-us/privacy-policy),[:email:](mailto:privacy@chipotle.com),[:memo:](https://www.chipotle.com/datarequest),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
Coca Cola,[:blue_book:](https://us.coca-cola.com/privacy-policy#privacy),[:email:](mailto:privacy@coca-cola.comp000),[:memo:](https://us.coca-cola.com/dsrform),OneTrust,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,,
