Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
2K,[:blue_book:](https://www.take2games.com/privacy),,[:memo:](https://privacyportal.onetrust.com/webform/3efb95b4-aed7-4aa8-85d8-488eb074fa8c/19eefada-ab66-4f0f-86b7-b542d1969d38),OneTrust,,,,,,
Activision Blizzard,[:blue_book:](https://www.activisionblizzard.com/legal/privacy-policy),[:envelope:](privacyrequests@activisionblizzard.com),,Email,:heavy_check_mark:,,,,,[:bar_chart:](https://www.activision.com/legal/ccpa-report)
Bandai Namco,[:blue_book:](https://www.bandainamcoent.com/legal/privacy),[:envelope:](privacy@bandainamcoent.com),,Email,:heavy_check_mark:,,,,,
Electronic Arts,[:blue_book:](https://www.ea.com/legal/privacy-and-cookie-policy),,[:memo:](https://www.ea.com/legal/privacy-portal),Account settings,:heavy_check_mark:,,,,,
Epic Games,[:blue_book:](https://www.epicgames.com/site/en-US/privacypolicy),[:envelope:](privacy@support.epicgames.com),,Email,:heavy_check_mark:,,,,,
Gameloft,[:blue_book:](https://www.gameloft.com/en/privacy-notice),[:envelope:](DataProtectionSupport@gameloft.com),[:memo:](https://www.gameloft.com/en/privacy-notice/contact-form/),Internal form,:heavy_check_mark:,,,,,
Ghost Story Games,[:blue_book:](https://www.take2games.com/privacy/),[:envelope:](Community@GhostStoryGames.com),[:memo:](https://www.ghoststorygames.com/privacy-data-requests/),Email,,,,,,
Glu Mobile,[:blue_book:](https://www.ea.com/legal/privacy-and-cookie-policy),,[:memo:](https://www.ea.com/legal/privacy-portal),Account settings,:heavy_check_mark:,,,,,
Jagex,[:blue_book:](https://www.jagex.com/en-GB/terms/privacy),[:envelope:](dpo@jagex.com),,Email,:heavy_check_mark:,,,,,
Jam City,[:blue_book:](https://www.jamcity.com/privacyandterms/),[:envelope:](privacy@jamcity.com),[:memo:](https://support.jamcity.com/gdpr/),Internal form,:heavy_check_mark:,,,,,
Miniclip,[:blue_book:](https://www.miniclip.com/privacy-policy),[:envelope:](dataprotection@miniclip.com),,Email,:heavy_check_mark:,,,,,
Nexon,[:blue_book:](https://www.nexon.com/main/en/legal/privacy/),[:envelope:](na_nx_legal@nexon.com),,Email,,,,,,
Niantic,[:blue_book:](https://nianticlabs.com/privacy?hl=en),[:envelope:](privacy@nianticlabs.com),,Email,:heavy_check_mark:,,,,,
Nintendo,[:blue_book:](https://www.nintendo.com/privacy-policy/),[:envelope:](privacypolicy@noa.nintendo.com),[:memo:](https://privacyportal.onetrust.com/webform/50b45312-ab08-436b-adc7-79156d8394f7/e0b5b569-7fb1-43c9-befc-0e789ed712fb),OneTrust,,,,,,
Private Division,[:blue_book:](https://www.take2games.com/privacy/),,[:memo:](https://privacyportal-cdn.onetrust.com/dsarwebform/3efb95b4-aed7-4aa8-85d8-488eb074fa8c/696c1409-ef27-4bca-b988-79b966eaeee0.html),OneTrust,,,,,,
Riot Games,[:blue_book:](https://www.riotgames.com/en/privacy-notice),[:envelope:](dpo@riotgames.com),[:memo:](https://support-leagueoflegends.riotgames.com/hc/en-us/articles/360001299888),Internal form,,,,,,
Roblox,[:blue_book:](https://en.help.roblox.com/hc/en-us/articles/115004630823-Roblox-Privacy-and-Cookie-Policy-),[:envelope:](privacy@roblox.com),[:memo:](https://www.roblox.com/support),Email,:heavy_check_mark:,,,,,[:bar_chart:](https://en.help.roblox.com/hc/en-us/articles/4402871541140-CPRA-Privacy-Policy)
Rockstar Games,[:blue_book:](https://www.rockstargames.com/privacy?country=us),[:envelope:](privacypolicy@take2games.com),[:memo:](http://rsg.ms/account),Internal form,:heavy_check_mark:,,,,,
Rovio,[:blue_book:](https://www.rovio.com/privacy/),[:envelope:](privacy@rovio.com),,Account settings,:heavy_check_mark:,,,,,
Scopely,[:blue_book:](https://www.scopely.com/en/legal?id=privacy),[:envelope:](privacy@scopely.com),,Email,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,
Square Enix,[:blue_book:](https://www.hd.square-enix.com/eng/privacy.html),[:envelope:](privacypolicy@square-enix.com),,Post mail,,,,,,
Supercell,[:blue_book:](https://supercell.com/en/privacy-policy/),[:envelope:](legal-requests@supercell.com),,Account settings,:heavy_check_mark:,,,,,
Take-Two Interactive,[:blue_book:](https://www.take2games.com/privacy/),[:envelope:](privacypolicy@take2games.com),[:memo:](https://www.take2games.com/data-request),Internal form,,,,,,
Tencent,[:blue_book:](https://www.tencent.com/en-us/privacy-policy.html),[:envelope:](dataprotection@tencent.com),,Email,,,,,,
Ubisoft,[:blue_book:](https://legal.ubi.com/privacypolicy/en-US),,[:memo:](https://www.ubisoft.com/en-us/help/contact?game=50003&platform=29&category=389&hidefields=all&gf=1&af=1),Account settings,:heavy_check_mark:,,,,,[:bar_chart:](https://legal.ubi.com/privacypolicy/en-US)
Zynga,[:blue_book:](https://www.zynga.com/privacy/policy),[:envelope:](privacy@zynga.com),[:memo:](https://privacy.zynga.com/portal/#/),Internal form,:heavy_check_mark:,,,,,
