Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
AT&T,[:blue_book:](https://about.att.com/privacy/full_privacy_policy.html),[:envelope:](privacypolicy@att.com),[:memo:](https://www.att.com/acctmgmt/passthrough/PRIVACYCHOICES?origination_point=PrivacyCenter),Account settings,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,[:bar_chart:](https://about.att.com/privacy/StateLawApproach/california/ca-metrics.html)
Boost Mobile,[:blue_book:](https://www.boostmobile.com/about/legal/privacy-policy.html?INTNAV=BotNav:Legal:Privacy),,[:memo:](https://www.boostmobile.com/ccpaportal.html),Internal form,:heavy_check_mark:,,,,,
Consumer Cellular,[:blue_book:](https://www.consumercellular.com/legal/privacyandsecurity),,[:memo:](https://privacyportal.onetrust.com/webform/548fbbb6-4dd0-48c8-b728-05ab7819bed2/1280eff9-8067-4338-a276-6545911f9f72),OneTrust,:heavy_check_mark:,,,,,
Cricket,[:blue_book:](https://www.cricketwireless.com/privacy),[:envelope:](privacypolicy@cricketwireless.com),[:memo:](https://www.cricketwireless.com/legal-info/california-consumer-privacy-act.html),Account settings,:heavy_check_mark:,,,,,[:bar_chart:](https://www.cricketwireless.com/legal-info/ccpa-metrics)
Mint Mobile,[:blue_book:](https://www.mintmobile.com/privacy-policy/),,[:memo:](https://kaena1.atlassian.net/servicedesk/customer/portal/25/group/49/create/239),Atlassian,:heavy_check_mark:,,,,,
Spectrum,[:blue_book:](https://www.spectrum.com/policies/privacy-policy),,[:memo:](https://privacy.spectrum.net/),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,
T-Mobile,[:blue_book:](https://www.t-mobile.com/privacy-center/privacy-notices/t-mobile-privacy-notice?INTNAV=fNav%3APrivacyNotice),[:envelope:](privacy@t-mobile.com),[:memo:](https://privacyportal-t-mobile.my.onetrust.com/webform/d4a925f0-4ebf-40ba-817b-bccc309e602f/7831d667-1ebc-4b1e-a941-e545cb0d0523),OneTrust,:heavy_check_mark:,,,,,[:bar_chart:](https://www.t-mobile.com/privacy-center/privacy-notices/t-mobile-privacy-notice)
Verizon,[:blue_book:](https://www.verizon.com/about/privacy/),[:envelope:](privacyoffice@verizon.com),[:memo:](https://www.verizon.com/privacy/your-data),Account settings,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.verizon.com/about/privacy/ccpa-reporting)
Visible Mobile,[:blue_book:](https://www.visible.com/legal/privacy/),[:envelope:](privacy@visible.com),[:memo:](https://www.visible.com/legal/data-and-privacy-portal),Account settings,:heavy_check_mark:,,,:heavy_check_mark:,,
Xfinity,[:blue_book:](https://www.xfinity.com/privacy/policy),[:envelope:](Comcast_Privacy@comcast.com),[:memo:](https://www.xfinity.com/privacy/requests),Internal form,:heavy_check_mark:,,,:heavy_check_mark:,,[:bar_chart:](https://www.xfinity.com/privacy/reports)
