Company,Privacy Policy,Contact,Request Form,Request Type,CCPA,CPA,CTDPA,CDPA,UCPA,CCPA Metrics
CyberGhost VPN,[:blue_book:](https://www.cyberghostvpn.com/en_US/privacypolicy),[:email:](mailto:support@cyberghost.ro),,Email,,,,,,
ExpressVPN,[:blue_book:](https://www.expressvpn.com/privacy-policy),[:email:](mailto:support@expressvpn.com),,Email,:heavy_check_mark:,,,,,
Hide.me,[:blue_book:](https://hide.me/en/privacy),[:email:](mailto:support@hide.me),,Email,,,,,,
HotspotShield,[:blue_book:](https://www.hotspotshield.com/privacy-policy/),[:email:](mailto:privacy@pango.co),,Email,:heavy_check_mark:,,,,,
IVPN,[:blue_book:](https://www.ivpn.net/privacy/),[:email:](mailto:sar@ivpn.net),,Email,,,,,,
Mozilla VPN,[:blue_book:](https://www.mozilla.org/en-US/privacy/subscription-services/),[:email:](mailto:compliance@mozilla.com),[:memo:](https://privacyportal.onetrust.com/webform/1350748f-7139-405c-8188-22740b3b5587/4ba08202-2ede-4934-a89e-f0b0870f95f0),OneTrust,,,,,,
Mullvad,[:blue_book:](https://mullvad.net/en/help/privacy-policy/),[:email:](mailto:support@mullvad.net),,Email,,,,,,
NordVPN,[:blue_book:](https://my.nordaccount.com/legal/privacy-policy/),[:email:](mailto:privacy@nordaccount.com),,Email,,,,,,
Private Internet Access VPN,[:blue_book:](https://www.privateinternetaccess.com/privacy-policy),[:email:](mailto:privacy@privateinternetaccess.com),,Email,:heavy_check_mark:,,,,,
ProtonVPN,[:blue_book:](https://protonvpn.com/privacy-policy),[:email:](mailto:contact@protonvpn.com),[:memo:](https://protonvpn.com/support-form),Internal form,,,,,,
Surfshark,[:blue_book:](https://surfshark.com/privacy),[:email:](mailto:support@surfshark.com),,Email,,,,,,
TunnelBear,[:blue_book:](https://www.tunnelbear.com/privacy-policy),,[:memo:](https://www.tunnelbear.com/account/privacy),Account settings,:heavy_check_mark:,,,,,
