Company,PrivacyPolicy,Contact,RequestForm,RequestType,CCPA,CPA,CTDPA,CDPA,UCPA,Metrics
360 Media Direct,http://www.360mediadirect.com/privacy-policy,privacy@360mediadirect.com,https://privacyportal.onetrust.com/webform/61bec790-6a26-4a25-af94-ec9a3163d107/910af1f0-966c-46f1-900a-973a0357c26e,OneTrust,True,False,False,False,False,
AccuData Integrated Marketing,https://www.accudata.com/wp-content/uploads/2023/02/AccuData-Privacy-Policy_January-2023_2.2.23.pdf,privacy.compliance@deepsync.com,https://optout.accudata.com/request/data,Internal form,True,True,True,True,True,
Acxiom,https://www.acxiom.com/about-us/privacy/,consumeradvo@acxiom.com,https://privacyportal.onetrust.com/webform/342ca6ac-4177-4827-b61e-19070296cbd3/7229a09c-578f-4ac6-a987-e0428a7b877e,OneTrust,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.acxiom.com/about-us/privacy/highlights-for-us-products-privacy-policy/#ccpa
Adrea Rubin Marketing,http://www.adrearubin.com/privacy-policy/,info@adrearubin.com,,Email,True,False,False,False,False,
Adstra,https://adstradata.com/privacy-policy/,privacy.officer@adstradata.com,https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/119946d0-d314-4527-849d-72ff366dcc69,OneTrust,True,True,True,True,True,
Affinity Solutions,https://www.affinity.solutions/ccpadsar-notice,privacy@affinitysolutions.com,https://affinitysolutions-privacy.my.onetrust.com/webform/a564cfa1-53bf-4c10-bf95-cd907432d7e8/7e4e6bf3-6562-454e-8c73-6a7bd1f4b336,OneTrust,True,False,False,False,False,
Aged Leave Store,https://agedleadstore.com/privacy-policy/,privacy@agedleadstore.com,https://agedleadstore.com/privacy-rights-request-form/,Internal form,True,False,False,False,False,
Alesco Group,https://alescodata.com/privacy-policy/,info@alescodata.com,https://mydataprivacy.com/,Internal form,True,True,True,True,True,
All Web Leads,https://awl.com/privacy/,info@awl.com,https://privacyportal-eu.onetrust.com/webform/031dc37f-2093-4055-9d04-22f83329fe9f/a4fb8ed6-8389-4a17-a3be-ca808c6b300e,OneTrust,True,False,False,True,False,https://awl.com/privacy/
American City Business Journals,https://acbj.com/privacy,PrivacyPolicyCoordinator@bizjournals.com,https://privacyportal.onetrust.com/webform/161633e1-9ffa-4774-8e22-ae77c29e0c70/a87fe61a-39f8-4b0a-a43f-779d6774c3c5,OneTrust,True,False,False,True,False,
AnalyticsIQ,https://analytics-iq.com/privacy-policy'},privacy@analytics-iq.com,https://privacyportal.onetrust.com/webform/f6a59500-f900-4652-b030-0cd51afe15a5/87ca07e4-e06c-4ad8-9aa6-ccbbaa8750c1,OneTrust,False,False,False,False,False,
Anchor Computer,https://www.anchorcomputer.com/index.php/privacy-policy/,privacyteam@anchorcomputer.com ,https://ecom2.anchorcomputer.com/ccpa,,True,False,False,False,False,https://www.anchorcomputer.com/index.php/privacy-policy/
Anteriad,https://anteriad.com/privacy-policy/,privacy@Anteriad.com,https://privacyportal.onetrust.com/webform/e32c5e49-85c5-4969-bfa8-8cde49952e1f/ca578cee-9862-432c-a50e-8c9f175c333e,OneTrust,TRUE,False,False,False,False,
Apollo Interactive,http://www.apollointeractive.com/privacy-policy.php,info@apollointeractive.com,https://www.apollointeractive.com/data-rights.php,Internal form,True,False,False,False,False,
Aristotle International,https://integrity.aristotle.com/privacy-policy/,integrity@aristotle.com,,Email,True,False,False,False,False,
Arity,https://www.arity.com/privacy/,privacy@arity.com,https://arity.consumerprivacyinfo.com/,OneTrust,True,False,False,True,False,https://www.arity.com/privacy/
AtData,https://www.atdata.com/privacy-policy,privacy@towerdata.com,https://privacyportal-cdn.onetrust.com/dsarwebform/b38ccfa3-c14a-451e-bf1d-974d1e278b7c/6214ac53-9059-474d-a847-800250556e9d.html,OneTrust,True,False,False,False,False,
Audience Acuity,https://audienceacuity.com/privacy-policy/,privacy@audienceacuity.com,https://audienceacuity.com/privacy/,Internal form,True,True,True,True,True,
Audiencerate,https://www.audiencerate.com/full-data-privacy-compliance/,privacy@audiencerate.com,,Email,True,True,True,True,True,
automotive Mastermind,https://www.automotivemastermind.com/privacy-policy,info@automotivemastermind.com,https://privacyportal.onetrust.com/webform/5cb57702-8ef7-437e-a62b-408fe78cd310/93391c3d-d6c8-45b1-a169-39a0b7f9fb74,OneTrust,True,False,False,False,False,
BDO USA,https://www.bdo.com/privacy-policy,privacy@bdo.com,https://www.bdo.com/consumer-request-form,Internal form,True,False,False,True,False,
Belardi Wong,https://belardiwong.com/privacy-policy/,privacy.officer@belardiwong.com,https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/db862165-db28-4966-885c-8ace2d0c1512,OneTrust,True,True,True,True,True,
Benchmark Email,https://www.benchmarkemail.com/privacy-policy/,support@benchmarkemail.com,,Email,True,False,False,False,False,
BIGDBM,https://www.bigdbm.com/privacy.html,privacy@bigdbm.com,https://optout.bigdbm.com/form/Personal%20Information%20Request%20Form%20BIGDBM.pdf,Email,True,False,False,False,False,
Blackbaud,http://blackbaud.com/company/privacy-policy,privacy@blackbaud.com,https://www.blackbaud.com/company/Data-Subject-Rights-Request,OneTrust,True,True,True,True,True,
Bombora,https://bombora.com/privacy-policy/,privacy@bombora.com,https://privacyportal-cdn.onetrust.com/dsarwebform/662170ba-e8a7-486d-83f0-18df819c7d01/30097882-a6d2-4336-960d-5943489b1f34.html?Cookie_ID=3615977796843601920,OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,https://bombora.com/wp-content/uploads/2022/06/CCPA-2021-Metrics.pptx.pdf
Brandwatch,https://www.brandwatch.com/legal/user-privacy-policy/,privacy@brandwatch.com,https://www.brandwatch.com/p/legal-data-subject-access-request/,Internal form,True,False,False,False,False,
Calibrant Digital,https://www.calibrant.com/privacy/,info@calibrant.com,,Email,True,False,False,False,False,
Channel Advisor,https://www.channeladvisor.com/privacy-policy/,data-privacy@channeladvisor.com ,https://www.channeladvisor.com/privacy-policy/,Internal form,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.channeladvisor.com/privacy-policy/ccpa-reporting/
Cision US,http://www.cision.com/legal/privacy-policy/,privacy@cision.com,https://cision.service-now.com/gdpr?id=dsr_entry_form&lang=en,ServiceNow,True,False,False,False,False,
Claritas,https://claritas.com/privacy-legal/,privacyinfo@claritas.com,https://privacyportal-cdn.onetrust.com/dsarwebform/68582716-6ce4-4f6e-bf08-78371b5f3292/935c6ef9-c523-4a32-b361-d8f29ff61465.html,OneTrust,True,False,False,False,False,
Clearview AI,https://www.clearview.ai/privacy-policy,privacy@clearview.ai,https://www.clearview.ai/privacy-and-requests,OneTrust,True,False,False,True,False,
Compact Information Systems,https://www.compactlists.com/privacy-policy/,privacy.compliance@deepsync.com,https://privacy.compactlists.com/request/data,Internal form,True,True,True,True,True,
Complete Mailing Lists,http://www.CompleteMailingLists.com/privacy-policy,privacy-inquiries@completemailinglists.com,,Email,True,False,False,False,False,
Complete Medical Lists,http://www.completemedicallists.com/privacy.php,info@completemailinglists.com,https://www.completemedicallists.com/ccpa.php,Internal form,True,False,False,False,False,
Comscore,https://www.comscore.com/About/Privacy-Policy,dsr@comscore.com,https://www.comscore.com/About/Privacy/Data-Subject-Rights?cs_edgescape_cc=US,Internal form,TRUE,FALSE,FALSE,FALSE,FALSE,
Connected Investors,https://connectedinvestors.com/content/privacy-policy,support@connectedinvestors.com,https://connectedinvestors.com/consumer-protection,Internal form,TRUE,False,False,False,False,
Cyndx Networks,https://www.cyndx.com/privacy/,privacy@cyndx.com,https://www.cyndx.com/california-do-not-track/,Internal form,True,False,False,False,False,
DatabaseUSA,https://privacycompliance.biz/ccpa-privacy-policy-dbusa,Privacy@databaseusa.com,https://privacycompliance.biz/databaseusa-ccpa-cpra/,Internal form,True,False,False,True,False,
Delinian,https://www.delinian.com/privacy-policy/,dataprotectionofficer@delinian.com,https://privacyportal-de.onetrust.com/webform/b5218791-ed84-4221-9950-4da103101c75/07e77fcd-d0fe-4cea-aaf9-e342dcd79929,OneTrust,True,False,False,False,False,
Dice Career Solutions,http://www.dice.com/about/privacy-policy,privacy@dice.com,https://www.dice.com/about/ccpa#ccpa-form-anchor,Internal form,True,False,False,False,False,
Edvisors Network,http://www.edvisors.com/terms-privacy-disclaimer,customerservice@edvisors.com,https://www.edvisors.com/right-to-know-request/,Internal form,True,True,True,True,False,
Ekata,https://ekata.com/privacy-policy/,euprivacy@Ekata.com,https://privacyrequests.ekata.com/hc/en-us/requests/new,Internal form,TRUE,False,False,False,False,https://ekata.com/privacy-policy/
Electronic Voice Services,https://www.telephonelists.biz/privacy-policy-of-telephonelists-biz/,richard@evs7.com,https://www.evs7.com/personal-information-request,Internal form,True,False,False,False,False,
EproDirect,https://www.eprodirect.com/privacy-policy/,team@eprodirect.com,,Email,True,False,False,False,False,
Epsilon Data Management,https://www.epsilon.com/us/privacy-policy,privacy@epsilon.com,https://legal.epsilon.com/dsr/,Internal form,True,False,False,True,False,https://legal.epsilon.com/us/NA-products-privacy-policy
Equifax,https://www.equifax.com/privacy/privacy-statement/,,https://myprivacy.equifax.com/personal-info,Internal form,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.equifax.com/privacy/privacy-statement/
Euromoney Institutional Investor,https://www.delinian.com/privacy-policy/,dataprotectionofficer@delinian.com,https://privacyportal-de.onetrust.com/webform/b5218791-ed84-4221-9950-4da103101c75/8beeb997-aa1b-4703-83e4-8d1ba0dc5459,OneTrust,True,False,False,False,False,
Experian,https://www.experian.com/privacy/#consumerprivacy,,https://consumerprivacy.experian.com/ccpa/,Internal form,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.experian.com/privacy/ccpa-privacy-policy
First Direct,https://firstdirectmarketing.com/privacy-policy/,support@firstdirectmarketing.com,https://ccpa.firstdirectinc.com/?utm_source=first-direct&utm_medium=fd-privacy-link&utm_campaign=referral&utm_content=ccpa,Internal form,True,False,False,False,False,
First Orion,https://firstorion.com/first-orion-global-privacy-and-compliance-dashboard/,privacy@firstorion.com,https://privacy.firstorion.com/,Internal form,FALSE,FALSE,FALSE,FALSE,FALSE,
