Company,PrivacyPolicy,Contact,RequestForm,RequestType,CCPA,CPA,CTDPA,CDPA,UCPA,Metrics
AMC,https://www.amctheatres.com/privacy-policy,privacymanager@amctheatres.com,https://www.amctheatres.com/privacy,Internal form,TRUE,FALSE,FALSE,TRUE,FALSE,
Cinemark,https://www.cinemark.com/privacy-policy,,https://www.cinemark.com/my-personal-information,Internal form,FALSE,FALSE,FALSE,FALSE,FALSE,
Crunchyroll,https://www.crunchyroll.com/en/privacy/index.html,,https://privacyportal-cdn.onetrust.com/dsarwebform/d19e506f-1a64-463d-94e4-914dd635817d/fc46fc0c-407c-4735-9a43-14dfa283d17c.html,OneTrust,TRUE,FALSE,FALSE,TRUE,FALSE,
Discovery+,https://corporate.discovery.com/privacy-policy/,privacy_policy@discovery.com,https://privacyportal.onetrust.com/webform/1b21e05d-c206-4e0b-970e-2d73a23e42e8/5b504afe-dd1e-47f6-9af6-56144531eced,OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,
Disney,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/,usprivacy@twdc.com,https://privacyportalde-cdn.onetrust.com/dsarwebform/64f077b5-2f93-429f-a005-c0206ec0738e/310e544c-4c70-4d0f-90d5-d4dc8b3f7cba.html,OneTrust,True,False,False,True,False,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/
ESPN,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/,usprivacy@twdc.com,https://privacyportalde-cdn.onetrust.com/dsarwebform/64f077b5-2f93-429f-a005-c0206ec0738e/310e544c-4c70-4d0f-90d5-d4dc8b3f7cba.html,OneTrust,True,False,False,True,False,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/
Fandango,https://www.fandango.com/policies/privacy-policy,privacy@fandango.com,https://privacyportal-cdn.onetrust.com/dsarwebform/17e5cb00-ad90-47f5-a58d-77597d9d2c16/7e1e94a5-ce41-429f-8613-2b0b30850f6e.html,OneTrust,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.fandango.com/policies/ccpa-metric
HBO Max,https://www.hbomax.com/privacy/usrights/en-us,privacy@hbomax.com,https://www.warnermediaprivacy.com/delete-data/request/,Internal form,True,False,False,True,False,
Hulu,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-us-state-privacy-rights/,usprivacy@twdc.com,https://privacyportalde-cdn.onetrust.com/dsarwebform/64f077b5-2f93-429f-a005-c0206ec0738e/310e544c-4c70-4d0f-90d5-d4dc8b3f7cba.html,OneTrust,True,False,False,True,False,
IMDB,https://www.imdb.com/privacy?ref_=ft_pvc,,https://help.imdb.com/article/imdb/general-information/how-can-i-access-or-delete-personal-information-imdb-stores-about-me/GDASD2LZMU8HNH4H?ref_=helpms_helpart_inline#,Account settings,TRUE,FALSE,FALSE,TRUE,FALSE,
LG,https://privacy.us.lg.com/,usprivacy@lge.com ,https://privacy.us.lg.com/policies?modal=select-subject,Internal form,True,True,True,True,True,
