Company,PrivacyPolicy,Contact,RequestForm,RequestType,CCPA,CPA,CTDPA,CDPA,UCPA,Metrics
Applebees,https://www.applebees.com/en/privacy-policy,privacydesk@applebees.com,https://privacyportal.onetrust.com/webform/de9c8170-4f8f-4c2c-bad0-0878e7e40cf0/40940099-6df1-4b17-9e6b-0dfa196c31f8,OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,
Arbys,https://www.arbys.com/privacy-policy,privacy@inspirebrands.com,https://arbys.truyo.com/consumer/make_request,Truyo,True,False,False,True,False,
Baskin-Robbins,https://www.baskinrobbins.com/en/privacy-policy,customerservice@dunkinbrands.com,,Email,TRUE,False,False,True,False,
Blaze Pizza,https://www.blazepizza.com/privacy,privacy@blazepizza.com,https://privacyportal.onetrust.com/webform/a9fd77da-e4ea-480f-9766-7e386d0c293b/8bdc14ec-5e15-4707-9d53-4820d18b7c36,OneTrust,True,False,False,False,False,
Burger King,https://www.bk.com/privacy-policy,privacy@rbi.com ,https://privacyportal-eu-cdn.onetrust.com/dsarwebform/7ae425dd-1c76-46b0-a1b4-2422a364fae3/draft/1d4481aa-204a-4cb5-a40a-82e4369d16b2.html,OneTrust,True,True,True,True,True,
Carl’s Jr,https://www.carlsjr.com/privacy-policy,privacy@ckr.com,https://privacy.ckr.com/consumer/make_request,Internal form,TRUE,FALSE,FALSE,TRUE,FALSE,
CAVA,https://www.cava.com/privacy,privacy@cava.com,,Email,True,False,False,True,False,
Chick-Fil-Ah,https://www.chick-fil-a.com/legal,privacy@chick-fil-a.com,https://privacyportal.onetrust.com/webform/63dc78c7-5612-4181-beae-47dead0569ee/01252c81-82df-4db5-9cb8-bf23a62a9a55,OneTrust,TRUE,True,True,True,True,
Chillis,https://brinker.com/privacy,privacypolicy@brinker.com,,Email,TRUE,FALSE,FALSE,FALSE,FALSE,
Chipotle,https://www.chipotle.com/about-us/privacy-policy,privacy@chipotle.com,https://www.chipotle.com/datarequest,Internal form,True,False,False,True,False,
Coca Cola,https://us.coca-cola.com/privacy-policy#privacy,privacy@coca-cola.comp000,https://us.coca-cola.com/dsrform,OneTrust,TRUE,TRUETrue,TRUE,TRUE,FALSE,
Dairy Queen,https://www.dairyqueen.com/en-us/privacy-statement/,privacy@idq.com ,https://privacyportal-cdn.onetrust.com/dsarwebform/9d08013a-e357-4ab3-a62e-e4b11eb0e644/b847de5c-1ee6-4a3f-bfd9-eb2988280bcb.html,OneTrust,True,False,False,True,False,
Dominos,https://www.dominos.com/en/#!/content/privacy/,privacy@dominos.com ,https://www.dominos.com/en/pages/customer/#!/ccpa/,Internal form,True,False,False,True,False,
DoorDash,https://help.doordash.com/legal/document?type=cx-privacy-policy&region=US&locale=en-US,privacy@doordash.com,,Account settings,True,False,False,False,False,
Dunkin Donuts,https://www.dunkindonuts.com/en/privacy-policy,customerservice@dunkinbrands.com ,https://www.dunkindonuts.com/en/consumer-rights,Account settings,TRUE,False,False,True,False,
El Pollo Loco,https://www.elpolloloco.com/legal/#privacy,privacy@elpolloloco.com,https://www.elpolloloco.com/legal/ccpa.html,TrustArc,TRUE,FALSE,False,False,False,
Firehouse Subs,https://www.firehousesubs.com/privacy-policy/,privacy@firehousesubs.com,https://submit-irm.trustarc.com/services/validation/972a7776-ef2e-47e6-966f-dc155d18a9d1,TrustArc,True,False,False,False,False,
Five Guys,https://www.fiveguys.com/Privacy-Policy,privacy@fiveguys.com,https://privacyportal.onetrust.com/webform/f5fbc500-6a08-4d16-b254-c0447470bd68/414493e2-5dbd-4831-b923-efd0ca6a4107,OneTrust,True,True,True,True,True,
IHOP,https://www.ihop.com/en/legal/privacy-policy,privacydesk@ihop.com,https://privacyportal.onetrust.com/webform/de9c8170-4f8f-4c2c-bad0-0878e7e40cf0/40940099-6df1-4b17-9e6b-0dfa196c31f8,OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,
In-n-Out,https://www.in-n-out.com/privacy-policy,privacy@innout.com,,Email,True,False,False,False,False,
Instacart,https://www.instacart.com/privacy,customerprivacy@instacart.com,,Account settings,TRUE,TRUE,FALSE,FALSE,FALSE,
Jack in the Box,https://www.jackinthebox.com/privacy#privacy,privacy@jackinthebox.com,https://privacyportal.onetrust.com/webform/f72e5ae6-9e91-47fa-88dc-2bd8c923eb94/a98731fa-583e-4150-a119-fb57432dca55,OneTrust,True,True,False,False,True,
Jamba Juice,https://www.jamba.com/privacy,privacy@jamba.com,https://jamba.truyo.com/consumer/index,Truyo,TRUE,FALSE,FALSE,TRUE,FALSE,
Jersey Mike’s,https://www.jerseymikes.com/privacy-policy,privacy@jerseymikes.com,,Email,True,False,False,True,False,
Jimmy John’s,https://www.jimmyjohns.com/privacy-policy/,privacy@inspirebrands.com,https://jimmyjohns.truyo.com/consumer,Truyo,True,False,False,True,False,
Kelloggs,https://www.kelloggcompany.com/en_US/privacy-policy.html,PrivacyOfficer@kellogg.com,https://privacyportal.onetrust.com/webform/65056390-02bd-474c-8a30-eb7a3ba7562d/5d31cc6a-081e-4350-98f5-4d9242ac8c95,OneTrust,TRUE,FALSE,FALSE,TRUE,FALSE,
KFC,https://www.kfc.com/privacy-policy,privacy@kfc.com ,https://privacyportal.onetrust.com/webform/94ba57b5-e5fc-4459-a91d-28bc381b6185/df178a85-1bd4-4220-8db6-913a08d072e4,OneTrust,TRUE,TRUE,TRUE,TRUE,TRUE,
Krispy Kreme,https://www.krispykreme.com/legal/privacy-policy,accessibility@krispykreme.com ,,Email,TRUE,FALSE,FALSE,FALSE,FALSE,
Little Caesars,https://littlecaesars.com/en-us/legal/privacy-policy/,privacycnd@icecorp.com,https://privacyportal.onetrust.com/webform/71972d41-e6c5-47e0-abcb-0fae85906805/426e2e3f-ff1b-4671-a18c-8b42f290ab37,OneTrust,TRUE,FALSE,FALSE,TRUE,FALSE,
Mars,https://www.mars.com/privacy,,https://privacyportal-eu-cdn.onetrust.com/dsarwebform/5f2759ff-9efe-412c-a3be-f13092d2c945/draft/9a93104f-e847-4c4b-85e8-dc821086d0cf.html,OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,
McDonalds,https://www.mcdonalds.com/us/en-us/privacy.html,contact.privacy@us.mcd.com,https://privacyportal.onetrust.com/webform/beafaae6-1861-4a9a-ab0e-c20b9b2adc2a/32fc189f-428f-42f9-84ac-1b217926ed6c,OneTrust,TRUE,True,True,True,True,
Olive Garden,https://www.olivegarden.com/privacy-policy,privacy@darden.com,https://privacyportal.onetrust.com/webform/ba9aad07-e9b8-4a45-8cfa-96268092be69/d19cf2ee-2646-46a9-a49f-239ec4760dac,OneTrust,TRUE,FALSE,FALSE,TRUE,FALSE,
Panda Express,https://www.pandaexpress.com/legal#privacy-policy,guestcare@pandarg.com ,https://privacyportal.onetrust.com/webform/fbcad385-5bbd-48ba-97d4-e5bcabcd10b9/90980e4c-bd28-4f50-82b3-d7c81a62c4ae,OneTrust,True,False,False,False,False,
