Company,PrivacyPolicy,Contact,RequestForm,RequestType,CCPA,CPA,CTDPA,CDPA,UCPA,Metrics
Adidas,https://www.adidas.com/us/help/us-company-information/what-is-the-privacy-policy,privacy.policy@adidas.com ,,Internal form,TRUE,FALSE,FALSE,TRUE,FALSE,
Alberstons,https://www.albertsonscompanies.com/policies-and-disclosures/privacy-policy/default.aspx,privacyoffice@albertsons.com,https://privacyportal.onetrust.com/webform/ea30fd57-7c9b-4aa0-b3c2-5ff790e3550f/f0ad4013-236f-4114-bd9b-f9d2316ef5c5,OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.albertsonscompanies.com/policies-and-disclosures/privacy-policy/2020-albertsons-ccpa-metrics-report/
Amazon,https://www.amazon.com/gp/help/customer/display.html%3FnodeId%3DGX7NJQ4ZB8MHFRNJ,,https://www.amazon.com/gp/help/customer/display.html?nodeId=G5NBVNN2RHXD5BUW,Account settings,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.amazon.com/gp/help/customer/display.html?nodeId=GC5HB5DVMU5Y8CJ2
Barnes and Noble,https://www.barnesandnoble.com/h/help/privacy-policy-complete,privacy@barnesandnoble.com,https://bn.clarip.com/dsr/create?type=3,Clarip,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.barnesandnoble.com/h/help/ccpa-requests
Best Buy,https://www.bestbuy.com/site/help-topics/privacy-policy/pcmcat204400050062.c?id=pcmcat204400050062,PrivacyManager@bestbuy.com,https://www.bestbuy.com/sentry/confirm/residency?context=ca&type=access,Internal form,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.bestbuy.com/site/privacy-policy/state-privacy-rights/pcmcat204400050063.c?id=pcmcat204400050063
Costco,https://www.costco.com/privacy-policy.html,US_Privacy@costco.com,https://www.costco.com/RightsRequest,Internal form,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.costco.com/privacy-policy.html#cppa
CPO,https://www.cpooutlets.com/outlets-privacy-policy.html,privacyteam@cpocommerce.com,https://submit-irm.trustarc.com/services/validation/3de96890-0ef3-42e3-bf78-c2191a2cae0e,TrustArc,TRUE,FALSE,FALSE,FALSE,FALSE,
CVS,https://www.cvs.com/help/privacy_policy.jsp,ConsumerPrivacy@CVSHealth.com,,Account settings,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.cvs.com/bizcontent/general/policy/consumer-request-metrics-disclosure.pdf
eBay,https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337590774&customid=&toolid=10001,,https://ocswf.ebay.com/guest/privacy,Internal form,True,False,False,True,False,https://www.ebayinc.com/company/privacy-center/privacy-notice/state-privacy-disclosures/#california
Etsy,https://www.etsy.com/legal/privacy/,dpo@etsy.com,https://help.etsy.com/hc/en-us/articles/360035753053-How-Do-I-Download-My-Etsy-Data-,Account settings,True,False,False,False,False,
Gamestop,https://www.gamestop.com/PrivacyPolicy.html,USConsumerRequests@gamestop.com,https://submit-irm.trustarc.com/services/validation/6e5e4be9-1778-46d4-b0e3-03a0e3a9153f,TrustArc,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.gamestop.com/PrivacyPolicy.html#section10
Home Depot,https://www.homedepot.com/privacy/privacy-and-security-statement,privacy@homedepot.com,https://www.homedepot.com/privacy/Exercise-My-Privacy-Rights,Internal form,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.homedepot.com/privacy/California-Privacy-Rights-and-Report
Ikea,https://www.ikea.com/us/en/customer-service/privacy-policy/,infosec.dataprivacy.us@ikea.com,https://privacyportal-eu.onetrust.com/webform/4934e273-6e7a-4e95-8a2f-48f0f901d3cd/2d7d7a43-1658-4b2e-8117-3d8542e3785d,OneTrust,True,False,False,False,False,
Kroger,https://www.kroger.com/i/privacy-policy,KrogerPrivacyOffice@Kroger.com,https://privacyportal.onetrust.com/webform/f95f67ef-e8ad-4274-9c69-04fd38042f86/550d355b-d9af-4bcf-b933-f734d464c0a9,OneTrust,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.kroger.com/content/v2/binary/document/ccpa_metrics_2021-1656342452748.pdf
Living Spaces,https://www.livingspaces.com/company/privacy-policy,,https://www.requesteasy.com/6385-3095,Request Easy,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.livingspaces.com/company/privacy-policy/ccpa-metrics
Macys,https://customerservice-macys.com/articles/macys-and-macyscom-notice-of-privacy-practices-2,privacy.master@macys.com ,https://www.macysprivacyportal.com/consumer/index,Truyo,TRUE,FALSE,FALSE,TRUE,FALSE,https://customerservice-macys.com/articles/macys-and-macyscom-notice-of-privacy-practices-2#california-residents
